Wall time,Step,Value
1714635091.655465,500,-6414.12060546875
1714635102.430697,1000,-6614.203125
1714635113.777795,1500,-6695.18310546875
1714635124.8466198,2000,-6753.5302734375
1714635136.0361295,2500,-6802.82421875
1714635146.4827318,3000,-6835.6865234375
1714635156.916233,3500,-6859.16015625
1714635167.3592212,4000,-6864.26513671875
1714635175.5700018,4500,-6877.75927734375
1714635185.4853187,5000,-6889.9833984375
1714635196.3864815,5500,-6899.98486328125
1714635206.9978223,6000,-6908.3193359375
1714635217.690096,6500,-6902.18505859375
1714635228.3816597,7000,-6892.84521484375
1714635238.906714,7500,-6917.0
1714635250.1823764,8000,-6920.0
1714635261.01097,8500,-6926.0
1714635271.6888533,9000,-6923.0
1714635282.2853327,9500,-6910.0
1714635292.690354,10000,-6896.0
1714635303.5936894,10500,-6888.0
1714635313.945521,11000,-6887.0
1714635325.0240564,11500,-6877.0
1714635335.5702899,12000,-6857.0
1714635345.4037526,12500,-6836.0
1714635356.0123775,13000,-6815.0
1714635366.7633815,13500,-6805.0
1714635377.2466192,14000,-6747.9892578125
1714635387.6737707,14500,-6731.9892578125
1714635397.9832668,15000,-6717.9892578125
1714635408.5694933,15500,-6700.9892578125
1714635419.3969252,16000,-6678.9892578125
1714635429.9445834,16500,-6642.97802734375
1714635440.8949842,17000,-6630.97802734375
1714635451.4439228,17500,-6605.97802734375
1714635461.7539485,18000,-6592.97802734375
1714635471.7863374,18500,-6561.966796875
1714635482.3704078,19000,-6539.95556640625
1714635493.1144085,19500,-6533.95556640625
1714635503.6072128,20000,-6470.94482421875
1714635514.6026971,20500,-6461.94482421875
1714635525.000692,21000,-6508.95556640625
1714635536.1408308,21500,-6519.95556640625
1714635547.088369,22000,-6530.95556640625
1714635557.5689561,22500,-6520.94482421875
1714635568.3691857,23000,-6521.94482421875
1714635578.6209295,23500,-6546.95556640625
1714635589.026361,24000,-6545.95556640625
1714635599.4562602,24500,-6548.95556640625
1714635610.5411708,25000,-6554.95556640625
1714635620.9779994,25500,-6586.966796875
1714635631.5806565,26000,-6616.978515625
