Wall time,Step,Value
1714643658.1491096,500,-4654.931640625
1714643668.7666893,1000,-4149.28515625
1714643679.9288592,1500,-4430.31689453125
1714643690.3478997,2000,-4478.197265625
1714643700.8585038,2500,-4636.2177734375
1714643711.3880281,3000,-4668.93994140625
1714643722.4476273,3500,-4622.37060546875
1714643732.4019735,4000,-4711.46923828125
1714643742.7417305,4500,-4828.9697265625
1714643752.999322,5000,-4911.7216796875
1714643763.2772925,5500,-4962.25634765625
1714643774.4175198,6000,-4951.3681640625
1714643785.0317574,6500,-5047.3681640625
1714643796.053313,7000,-5017.37939453125
1714643806.3259833,7500,-5134.41259765625
1714643816.4244108,8000,-5143.4462890625
1714643827.7890034,8500,-5219.48974609375
1714643838.1654773,9000,-5270.49951171875
1714643848.8654842,9500,-5302.52197265625
1714643859.4047067,10000,-5380.564453125
1714643869.2571077,10500,-5304.54296875
1714643880.381151,11000,-5252.51806640625
1714643891.157949,11500,-5226.50634765625
1714643902.402549,12000,-5199.50537109375
1714643913.150944,12500,-5314.5498046875
1714643924.2435331,13000,-5226.5166015625
1714643935.2974072,13500,-5161.51611328125
1714643945.8290365,14000,-5093.4833984375
1714643956.5334692,14500,-4946.439453125
1714643967.1029158,15000,-4710.37451171875
1714643977.9685907,15500,-4697.36328125
1714643988.3740764,16000,-4689.36376953125
1714643999.12325,16500,-4647.37744140625
1714644010.0285273,17000,-4702.41259765625
1714644021.2445467,17500,-4766.412109375
1714644031.7893932,18000,-4762.412109375
1714644041.804495,18500,-4754.42333984375
1714644052.2422109,19000,-4818.41259765625
1714644062.599086,19500,-4783.40087890625
1714644072.7567456,20000,-4920.4345703125
1714644083.1289916,20500,-5130.4677734375
1714644093.384753,21000,-5024.44580078125
1714644104.395327,21500,-4961.4130859375
1714644115.0118043,22000,-4965.40185546875
1714644125.9719234,22500,-4921.36767578125
1714644136.8540251,23000,-4857.3671875
1714644147.4192858,23500,-4812.32421875
1714644158.1643994,24000,-4838.32470703125
1714644168.2633004,24500,-4752.3251953125
1714644179.1249828,25000,-4800.3154296875
1714644189.7597187,25500,-4693.2705078125
1714644200.9594076,26000,-4711.28125
1714644211.2866309,26500,-4600.2705078125
1714644222.2729993,27000,-4596.2802734375
1714644232.6566374,27500,-4554.28125
1714644243.7758484,28000,-4541.283203125
1714644254.4486177,28500,-4644.31494140625
1714644265.0384085,29000,-4670.32568359375
1714644275.8991704,29500,-4556.29345703125
1714644286.4978187,30000,-4508.314453125
1714644297.0593781,30500,-4543.32470703125
1714644307.7675862,31000,-4575.3359375
1714644318.4826255,31500,-4598.3134765625
1714644329.1738417,32000,-4621.33544921875
1714644339.4853406,32500,-4581.34716796875
