Wall time,Step,Value
1714508268.0869052,500,-6142.7021484375
1714508278.5730665,1000,-6449.92236328125
1714508289.6617835,1500,-6533.28173828125
1714508299.9590375,2000,-6499.92041015625
1714508310.662032,2500,-6380.4033203125
1714508321.4829648,3000,-6313.486328125
1714508331.9855542,3500,-6176.75341796875
1714508342.6273396,4000,-6218.49462890625
1714508352.61069,4500,-6227.123046875
1714508362.9186735,5000,-6246.42529296875
1714508373.1712368,5500,-6241.81298828125
1714508384.202272,6000,-6176.1953125
1714508394.7884932,6500,-6070.173828125
1714508405.584669,7000,-6113.78125
1714508415.8852518,7500,-6093.78125
1714508426.714062,8000,-6085.78125
1714508437.372036,8500,-6040.78173828125
1714508448.3100526,9000,-6003.78125
1714508458.8825517,9500,-5927.7490234375
1714508469.308373,10000,-5948.74951171875
1714508480.1134293,10500,-5786.6845703125
1714508490.9927146,11000,-5753.66259765625
1714508501.7222424,11500,-5563.62890625
1714508512.3164449,12000,-5532.6181640625
1714508522.4601767,12500,-5502.6171875
1714508533.1091974,13000,-5292.5302734375
1714508543.7784688,13500,-5187.486328125
1714508554.3189392,14000,-5078.443359375
1714508565.2905989,14500,-4976.41064453125
1714508575.823075,15000,-4992.421875
1714508586.8131082,15500,-5043.43212890625
1714508598.0248313,16000,-5059.43212890625
1714508608.8026295,16500,-5147.47509765625
1714508619.4984198,17000,-5136.4755859375
1714508630.425692,17500,-5150.486328125
1714508641.2544327,18000,-4985.4423828125
1714508652.1995392,18500,-5054.45458984375
1714508663.1482315,19000,-5013.45556640625
1714508674.361234,19500,-4912.43310546875
1714508685.4867704,20000,-4947.4326171875
1714508696.5898278,20500,-4902.43212890625
1714508707.0112717,21000,-4658.37841796875
1714508717.3971045,21500,-4530.32275390625
1714508728.0527139,22000,-4428.279296875
1714508739.2064028,22500,-4293.26806640625
1714508750.4245026,23000,-4287.26708984375
1714508760.9160707,23500,-4237.255859375
1714508771.8354769,24000,-4331.2978515625
1714508781.9182997,24500,-4399.31982421875
1714508792.8733346,25000,-4468.3310546875
1714508802.252012,25500,-4277.28759765625
1714508813.0057683,26000,-4228.25390625
1714508823.3236268,26500,-4194.2890625
1714508833.9680495,27000,-4210.27880859375
1714508844.8538718,27500,-4350.3125
1714508855.6696558,28000,-4382.3095703125
1714508865.5713341,28500,-4329.32080078125
1714508876.3566816,29000,-4208.27734375
1714508886.672449,29500,-3946.220947265625
1714508897.6141844,30000,-3964.219482421875
1714508908.2754474,30500,-3936.241455078125
1714508919.1147332,31000,-3826.185791015625
1714508929.9716709,31500,-3478.13037109375
1714508940.4893863,32000,-3273.1083984375
1714508951.3482273,32500,-3282.119140625
1714508961.9830706,33000,-3251.107666015625
1714508972.6042538,33500,-3179.10791015625
1714508983.502752,34000,-2939.076416015625
1714508994.64533,34500,-2741.065673828125
1714509005.234177,35000,-2790.077880859375
1714509016.096032,35500,-2754.06005859375
1714509027.0749416,36000,-2496.0166015625
1714509037.4112308,36500,-2276.9736328125
1714509048.137449,37000,-2515.017578125
1714509058.6162643,37500,-2562.02978515625
1714509069.405473,38000,-2564.029296875
1714509079.8754041,38500,-2588.039306640625
1714509090.3958607,39000,-2340.012939453125
1714509100.949697,39500,-2402.02490234375
1714509111.726998,40000,-2044.968505859375
1714509122.501858,40500,-1923.9454345703125
1714509132.9145753,41000,-1795.935791015625
1714509143.3846948,41500,-1960.9468994140625
1714509154.2293425,42000,-1986.9583740234375
1714509165.1600826,42500,-1971.970703125
1714509175.548256,43000,-1926.97998046875
1714509186.5140822,43500,-1751.97998046875
1714509197.0537136,44000,-1670.98095703125
1714509207.3072684,44500,-1708.970458984375
1714509218.1213303,45000,-1569.9605712890625
1714509228.0732946,45500,-1655.9593505859375
1714509238.9970484,46000,-1537.93603515625
1714509250.166822,46500,-1365.934814453125
1714509261.0116224,47000,-1438.93408203125
1714509271.4498255,47500,-1365.9364013671875
1714509282.2395794,48000,-1372.9483642578125
1714509292.7534273,48500,-1287.9278564453125
1714509303.255415,49000,-1287.93017578125
1714509314.0912611,49500,-1293.9388427734375
1714509324.8002875,50000,-1224.927734375
1714509335.847814,50500,-1169.9254150390625
1714509346.505869,51000,-1213.9354248046875
1714509357.32263,51500,-1219.937744140625
1714509367.5469465,52000,-1183.9349365234375
1714509379.2056794,52500,-1173.9375
1714509390.1511254,53000,-832.9009399414062
1714509401.5285664,53500,-730.903564453125
1714509411.965214,54000,-691.9036865234375
1714509422.7670271,54500,-639.9053344726562
1714509433.499194,55000,-675.9141845703125
1714509444.5903864,55500,-664.9176635742188
1714509454.7455394,56000,-570.9071044921875
1714509465.743672,56500,-574.9083862304688
1714509476.0416439,57000,-643.9080200195312
1714509486.4707837,57500,-592.9076538085938
1714509496.7500327,58000,-493.9072570800781
1714509507.407507,58500,-450.9142761230469
1714509517.861053,59000,-429.9136657714844
1714509527.747568,59500,-387.9078369140625
1714509538.3664768,60000,-400.9029846191406
1714509549.34523,60500,-361.9019775390625
1714509560.0319066,61000,-307.90570068359375
1714509570.452362,61500,-429.918212890625
1714509581.0997488,62000,-402.91876220703125
1714509592.1050782,62500,-258.9075622558594
1714509602.8449073,63000,-277.9065856933594
1714509613.1110792,63500,-324.91558837890625
1714509623.7420077,64000,-207.9070281982422
1714509634.8875604,64500,-207.90834045410156
1714509645.4088633,65000,-212.90869140625
1714509655.983811,65500,-294.9176940917969
1714509666.695818,66000,-201.90310668945312
1714509677.600391,66500,-169.9049530029297
1714509688.532141,67000,-133.90557861328125
1714509699.4681551,67500,-107.90744018554688
1714509710.2250829,68000,-111.9070053100586
1714509721.5095367,68500,-156.9053497314453
1714509732.2784276,69000,-159.90272521972656
1714509742.9983974,69500,-113.90216064453125
1714509754.0948963,70000,-67.90460205078125
1714509765.1096437,70500,-73.90279388427734
1714509775.8958397,71000,-130.91175842285156
1714509786.7431762,71500,-159.90673828125
1714509797.9218698,72000,-44.89646530151367
1714509808.523198,72500,-49.89854049682617
1714509819.182271,73000,-68.90399932861328
1714509830.0028079,73500,-62.90480041503906
1714509840.8561957,74000,-48.90446853637695
1714509851.674775,74500,-48.90306091308594
1714509863.0060914,75000,-44.89940643310547
1714509873.740535,75500,-45.902198791503906
1714509884.4327998,76000,-47.905399322509766
1714509895.3398595,76500,-52.906803131103516
1714509905.9887822,77000,-41.906375885009766
1714509917.4859164,77500,-35.90888214111328
1714509928.5535238,78000,-26.904111862182617
1714509938.6138394,78500,-22.90618324279785
1714509949.378352,79000,-25.90347671508789
1714509959.6158338,79500,-37.90433883666992
1714509970.0141685,80000,-35.904571533203125
1714509980.580365,80500,-29.904560089111328
1714509991.43135,81000,-27.90423011779785
1714510002.0879264,81500,-23.904199600219727
1714510012.9823658,82000,-22.903844833374023
1714510023.2584295,82500,-19.903505325317383
1714510034.337032,83000,-11.902741432189941
1714510045.3511155,83500,-30.898193359375
1714510056.594847,84000,-27.899452209472656
1714510067.0017788,84500,-19.899559020996094
1714510077.70152,85000,-18.903484344482422
1714510088.5684361,85500,-11.901394844055176
1714510099.3223383,86000,-7.899848937988281
1714510110.5643804,86500,-10.901278495788574
1714510121.243001,87000,-12.907171249389648
1714510132.0888743,87500,-15.906135559082031
1714510142.6238992,88000,-10.907161712646484
1714510153.4827735,88500,-5.901218891143799
1714510164.5942621,89000,-6.901320934295654
1714510175.4777393,89500,-9.903833389282227
1714510186.6616702,90000,-26.90247344970703
1714510196.6893876,90500,-17.902692794799805
1714510207.8210125,91000,-23.908388137817383
1714510218.5003953,91500,-23.90767478942871
1714510229.5042977,92000,-24.901981353759766
1714510240.1931415,92500,-12.901747703552246
1714510249.990381,93000,-33.90381622314453
1714510260.6578767,93500,-31.904367446899414
1714510271.45139,94000,-13.902887344360352
1714510282.2804391,94500,-5.8972978591918945
1714510293.2179163,95000,-14.902397155761719
1714510304.0238957,95500,-78.9186782836914
1714510314.75682,96000,-155.92721557617188
1714510326.3712294,96500,-22.908117294311523
1714510336.8506296,97000,-32.908042907714844
1714510348.1108947,97500,-40.90822219848633
1714510358.4581742,98000,-11.907364845275879
1714510369.2593067,98500,-19.90622329711914
1714510379.909912,99000,-17.90290641784668
1714510390.5670698,99500,-41.905155181884766
1714510401.4867227,100000,-29.905460357666016
1714510412.007797,100500,-19.9054012298584
1714510422.7490048,101000,-10.905319213867188
1714510432.296669,101500,-22.903888702392578
1714510442.84132,102000,-22.901670455932617
1714510453.5069406,102500,-42.903656005859375
1714510464.065504,103000,-51.901798248291016
1714510474.515172,103500,-22.89766502380371
1714510485.4144626,104000,-7.902297019958496
1714510496.1484303,104500,-12.906410217285156
1714510507.0849376,105000,-17.9052677154541
1714510517.3735218,105500,-27.90519905090332
1714510528.1312182,106000,-16.90569305419922
1714510539.241631,106500,-8.90636920928955
1714510550.5653427,107000,-7.907307147979736
1714510561.2321525,107500,-13.906607627868652
1714510572.0381713,108000,-24.904115676879883
1714510582.944735,108500,-15.909208297729492
1714510593.8229349,109000,-7.906084060668945
1714510604.5749562,109500,-35.90742492675781
1714510615.4385364,110000,-41.90526580810547
1714510626.1369073,110500,-31.904462814331055
1714510636.7398694,111000,-28.905277252197266
1714510647.5337179,111500,-8.903251647949219
1714510658.6154792,112000,-4.90297269821167
1714510669.8625028,112500,-4.902575969696045
1714510680.5824995,113000,-9.902270317077637
1714510691.680056,113500,-6.902172088623047
1714510702.7710314,114000,-6.907494068145752
1714510713.3479915,114500,-30.903505325317383
1714510723.9342952,115000,-13.900146484375
1714510734.735376,115500,-5.904283046722412
1714510745.712518,116000,-16.904321670532227
1714510755.98014,116500,-15.90243911743164
1714510766.6869128,117000,-28.9047908782959
1714510777.7382898,117500,-22.908246994018555
1714510788.5283809,118000,-19.90397071838379
1714510799.1125493,118500,-11.90609073638916
1714510809.524954,119000,-24.911121368408203
1714510820.298164,119500,-14.90468692779541
1714510831.0902739,120000,-14.900696754455566
1714510841.8428166,120500,-52.90809631347656
1714510852.9597747,121000,-51.909515380859375
1714510863.8669147,121500,-33.90380096435547
1714510874.0470855,122000,-12.901405334472656
1714510884.7021008,122500,-21.902978897094727
1714510895.2174668,123000,-25.903240203857422
1714510905.771081,123500,-7.899369716644287
1714510915.934416,124000,-6.9039483070373535
1714510926.895868,124500,-11.904738426208496
1714510937.8336866,125000,-7.905815601348877
1714510948.369582,125500,-24.898258209228516
1714510959.2462454,126000,-57.90071105957031
1714510969.7939305,126500,-24.906641006469727
1714510980.0928438,127000,-17.902687072753906
1714510990.7140381,127500,-16.90156364440918
1714511001.4784725,128000,-15.903995513916016
1714511012.200055,128500,-13.905965805053711
1714511022.6327245,129000,-10.906617164611816
1714511032.8915043,129500,-9.906731605529785
1714511044.0860283,130000,-12.901422500610352
1714511055.4444332,130500,-20.9072322845459
1714511065.892311,131000,-11.906585693359375
1714511076.645578,131500,-19.90580177307129
1714511087.1432817,132000,-11.905149459838867
1714511097.7928693,132500,-5.908834934234619
1714511108.3995495,133000,-4.910006999969482
1714511119.0384455,133500,-12.902604103088379
1714511130.3050961,134000,-18.906221389770508
1714511141.068379,134500,-14.907172203063965
1714511151.3973107,135000,-5.907414436340332
1714511161.9704404,135500,-10.907068252563477
1714511172.5340788,136000,-9.901803016662598
1714511183.2765718,136500,-17.902355194091797
1714511194.0542524,137000,-18.902572631835938
1714511204.8400931,137500,-10.905868530273438
1714511216.1284084,138000,-2.900843858718872
1714511226.907737,138500,-7.903777122497559
1714511237.2911339,139000,-15.90521240234375
1714511248.0365884,139500,-15.901327133178711
1714511258.7423785,140000,-7.904306888580322
1714511269.6837547,140500,-15.90498161315918
1714511280.4962416,141000,-22.906877517700195
1714511290.5213022,141500,-18.904224395751953
1714511301.45155,142000,-14.901407241821289
1714511312.1140044,142500,-9.906373023986816
1714511322.6203692,143000,-56.903106689453125
1714511333.4972227,143500,-5.898138999938965
1714511344.2079308,144000,-11.896262168884277
1714511354.679381,144500,-7.903088569641113
1714511364.4965296,145000,-29.905555725097656
1714511375.139695,145500,-25.901817321777344
1714511385.7082155,146000,-11.90416145324707
1714511396.5463247,146500,-14.90073013305664
1714511407.9342372,147000,-10.902791023254395
1714511417.9805636,147500,-7.910962104797363
1714511429.0366058,148000,-6.908000469207764
1714511440.0876925,148500,-8.903202056884766
1714511451.0946205,149000,-7.9029541015625
1714511461.8635156,149500,-1.9049546718597412
1714511472.5723283,150000,-3.903745412826538
1714511483.7582538,150500,-10.90239429473877
1714511494.5295045,151000,-9.907391548156738
1714511505.6104743,151500,-20.90395736694336
1714511515.8160586,152000,-6.902948379516602
1714511526.591944,152500,-4.902783393859863
1714511537.1897585,153000,-5.905311107635498
1714511547.7632377,153500,-8.90725326538086
1714511558.4896977,154000,-18.90142822265625
1714511568.880668,154500,-27.906461715698242
1714511579.5651996,155000,-9.904390335083008
1714511590.2362313,155500,-5.90640926361084
1714511600.8289216,156000,-6.903025150299072
1714511611.512439,156500,-11.90228271484375
1714511622.1469033,157000,-11.905252456665039
1714511632.4968057,157500,-9.904266357421875
1714511643.1197867,158000,-6.90110969543457
1714511653.9964242,158500,-2.902329921722412
1714511664.3253875,159000,-9.906240463256836
1714511675.217436,159500,-20.907026290893555
1714511685.8714688,160000,-20.9041748046875
1714511696.8508503,160500,-22.90496253967285
1714511707.9094656,161000,-27.90403175354004
1714511718.8208566,161500,-20.907136917114258
1714511729.5447826,162000,-17.905006408691406
1714511740.520492,162500,-5.9027018547058105
1714511750.824006,163000,-4.905457496643066
1714511761.3475604,163500,-2.904622793197632
1714511771.9416294,164000,-10.904656410217285
1714511782.5700629,164500,-4.901233673095703
1714511793.6029437,165000,-9.902002334594727
