Wall time,Step,Value
1714516789.6796448,500,-5928.41748046875
1714516800.764472,1000,-6221.3515625
1714516811.1720533,1500,-6252.27197265625
1714516822.0214047,2000,-5926.37548828125
1714516832.8856635,2500,-5915.53173828125
1714516842.6888855,3000,-5790.97509765625
1714516853.6749885,3500,-5731.140625
1714516864.1374617,4000,-5627.767578125
1714516874.7132902,4500,-5689.7880859375
1714516885.3438013,5000,-5765.0634765625
1714516896.4553208,5500,-5735.70458984375
1714516907.0384014,6000,-5766.32763671875
1714516917.8497856,6500,-5769.650390625
1714516928.8029146,7000,-5713.6181640625
1714516939.7231982,7500,-5635.5859375
1714516950.3762453,8000,-5674.6083984375
1714516960.4957478,8500,-5738.640625
1714516971.4508133,9000,-5768.640625
1714516982.1353593,9500,-5749.64013671875
1714516992.950951,10000,-5768.650390625
1714517003.3004954,10500,-5877.6845703125
1714517014.1057255,11000,-5803.66259765625
1714517024.964102,11500,-5619.61962890625
1714517036.225803,12000,-5594.640625
1714517047.0500658,12500,-5589.6416015625
1714517057.9390469,13000,-5652.66357421875
1714517068.5726473,13500,-5639.66357421875
1714517080.2170768,14000,-5722.6962890625
1714517090.6631036,14500,-5660.66455078125
1714517101.3552985,15000,-5479.62109375
1714517112.1045299,15500,-5577.66455078125
1714517123.0602305,16000,-5606.6650390625
1714517134.2230747,16500,-5630.654296875
1714517144.9330971,17000,-5600.6435546875
1714517156.8187084,17500,-5605.63330078125
1714517167.6230073,18000,-5620.63330078125
1714517178.2283936,18500,-5480.5908203125
1714517188.608748,19000,-5416.5693359375
1714517199.0661516,19500,-5292.5263671875
1714517209.1972828,20000,-5194.49365234375
1714517219.3762388,20500,-5135.4833984375
1714517230.3861177,21000,-5111.46044921875
1714517240.5372248,21500,-4852.38330078125
1714517251.1876328,22000,-4844.39404296875
1714517261.6815639,22500,-4826.3828125
1714517272.4031093,23000,-4850.40380859375
1714517283.1247554,23500,-4930.42578125
1714517293.4143715,24000,-5067.447265625
1714517303.857472,24500,-5051.435546875
1714517314.7042592,25000,-5076.44482421875
1714517325.3641346,25500,-5041.43359375
1714517336.4280505,26000,-5009.4443359375
1714517347.6336288,26500,-4906.4130859375
1714517358.778346,27000,-4936.41455078125
1714517369.4932342,27500,-4845.392578125
1714517380.070607,28000,-4745.3818359375
1714517390.6224878,28500,-4650.35986328125
1714517401.4261062,29000,-4693.35791015625
1714517412.3294187,29500,-4651.3359375
1714517422.9884253,30000,-4529.3154296875
1714517433.2548425,30500,-4396.283203125
1714517443.3989625,31000,-4360.27197265625
1714517453.5072613,31500,-4410.30419921875
1714517464.1376424,32000,-4456.314453125
1714517474.4971,32500,-4408.314453125
1714517485.1629844,33000,-4330.29345703125
1714517495.4095764,33500,-4390.2939453125
1714517505.8320346,34000,-4179.25341796875
1714517516.3155208,34500,-4060.243896484375
1714517527.1948004,35000,-3900.23095703125
1714517537.6806953,35500,-3958.241943359375
1714517548.3654606,36000,-3839.1982421875
1714517558.9894369,36500,-3640.166259765625
1714517568.945999,37000,-3765.20947265625
1714517579.4148252,37500,-3595.1669921875
1714517589.61155,38000,-3296.134765625
1714517600.591382,38500,-3083.12451171875
1714517611.2755184,39000,-3138.146728515625
1714517621.6152768,39500,-2785.11376953125
1714517632.6152549,40000,-2867.114990234375
1714517643.6056628,40500,-2615.08154296875
1714517654.1713855,41000,-2472.045654296875
1714517664.3472846,41500,-2689.086669921875
1714517675.4742942,42000,-2857.117919921875
1714517686.0025713,42500,-2869.106689453125
1714517696.4133885,43000,-2904.10498046875
1714517707.2978165,43500,-2464.05224609375
1714517718.1801288,44000,-2525.0732421875
1714517728.6466317,44500,-2423.054443359375
1714517739.457985,45000,-2254.012939453125
1714517750.4566872,45500,-2146.002197265625
1714517761.3640716,46000,-2117.00537109375
1714517772.4613862,46500,-1989.9849853515625
1714517783.113103,47000,-2021.9959716796875
1714517793.4963276,47500,-1842.9718017578125
1714517804.4378836,48000,-1849.971435546875
1714517815.4691458,48500,-1990.9915771484375
1714517825.4050846,49000,-2222.023681640625
1714517836.1885293,49500,-2430.034912109375
1714517846.5868287,50000,-2213.02392578125
1714517857.8126915,50500,-2255.04638671875
1714517867.5991695,51000,-1892.004638671875
1714517878.2559314,51500,-1574.962890625
1714517889.2641785,52000,-1414.9617919921875
1714517899.9318678,52500,-1390.937744140625
1714517910.6994064,53000,-1413.9371337890625
1714517921.858675,53500,-1445.9453125
1714517932.533237,54000,-1598.95751953125
1714517942.8730383,54500,-1570.956298828125
1714517953.5601206,55000,-1739.9693603515625
1714517964.1120183,55500,-1759.9908447265625
1714517975.199439,56000,-1779.00390625
1714517986.3139014,56500,-1857.0142822265625
1714517996.5596726,57000,-1763.993896484375
1714518006.4924264,57500,-1584.985107421875
1714518017.1301236,58000,-1210.9190673828125
1714518027.3217065,58500,-1067.921630859375
1714518037.6454415,59000,-1078.927490234375
1714518048.6494658,59500,-1149.935546875
1714518058.9749413,60000,-941.9340209960938
1714518069.435635,60500,-963.9327392578125
1714518080.0217524,61000,-911.92333984375
1714518090.489102,61500,-974.9231567382812
1714518101.3480437,62000,-1032.921875
1714518112.2922378,62500,-1007.9425048828125
1714518123.0276833,63000,-946.9439086914062
1714518133.4109488,63500,-885.9439086914062
1714518143.2205632,64000,-682.91650390625
1714518153.7641456,64500,-612.9150390625
1714518164.255787,65000,-566.9141235351562
1714518174.9372962,65500,-631.9135131835938
1714518185.7700677,66000,-601.9143676757812
