Wall time,Step,Value
1714439275.472188,2048,-4252.99658203125
1714439416.3063753,4096,-4436.767578125
1714439560.3225727,6144,-4711.31640625
1714439698.1101558,8192,-5014.380859375
1714439838.6558213,10240,-5212.4453125
1714439981.2200713,12288,-4965.37890625
1714440122.4381664,14336,-4830.31396484375
1714440265.827705,16384,-4756.32666015625
1714440409.0233917,18432,-4715.3154296875
1714440546.308697,20480,-4749.33642578125
1714440688.2099144,22528,-4806.3466796875
1714440829.7603288,24576,-4786.32568359375
1714440969.5389247,26624,-4988.400390625
1714441109.4779477,28672,-4980.35791015625
1714441251.485852,30720,-5035.3896484375
1714441391.9864633,32768,-4916.3359375
1714441531.2131453,34816,-4607.3154296875
1714441673.491019,36864,-4622.29345703125
1714441812.0857768,38912,-4465.26220703125
1714441953.6199312,40960,-4693.29638671875
1714442090.8328571,43008,-4829.349609375
1714442232.8814251,45056,-4778.33740234375
1714442371.8169699,47104,-4810.32470703125
1714442513.2732391,49152,-4623.28857421875
1714442655.2828305,51200,-4644.27978515625
1714442794.8683589,53248,-4667.302734375
1714442937.0034397,55296,-4735.31591796875
1714443082.297662,57344,-4710.30419921875
1714443223.2811377,59392,-4814.33740234375
1714443365.2412143,61440,-4880.38134765625
1714443508.4644692,63488,-4981.39208984375
1714443654.3639333,65536,-4755.34912109375
1714443794.4309921,67584,-4495.28466796875
1714443935.8608322,69632,-4444.2490234375
1714444076.9721198,71680,-4440.21923828125
1714444217.0483274,73728,-4636.26123046875
1714444359.7572482,75776,-4524.28076171875
1714444500.184826,77824,-4622.34619140625
1714444643.632543,79872,-4752.3447265625
1714444785.327905,81920,-4860.380859375
1714444925.094374,83968,-4817.37158203125
1714445067.0485148,86016,-4694.3505859375
1714445210.024727,88064,-4473.26123046875
1714445348.6616929,90112,-4847.34619140625
1714445491.1283534,92160,-4881.37939453125
1714445631.8491552,94208,-4721.35986328125
1714445771.0381253,96256,-4605.33544921875
1714445911.5683634,98304,-4432.3232421875
1714446053.268745,100352,-4475.314453125
1714446194.378163,102400,-4737.37890625
1714446336.0022054,104448,-4403.24560546875
1714446476.77375,106496,-4399.234375
1714446618.1883478,108544,-4605.30029296875
1714446760.2352974,110592,-4714.302734375
1714446900.9643097,112640,-4412.22900390625
1714447043.064001,114688,-4544.28271484375
1714447182.2006633,116736,-4762.31201171875
1714447323.0950918,118784,-4922.33447265625
1714447462.4834416,120832,-5022.37841796875
1714447607.5713532,122880,-4918.41357421875
1714447746.2821054,124928,-4684.40283203125
1714447890.490916,126976,-4647.34814453125
1714448030.4606266,129024,-4598.34814453125
1714448175.123106,131072,-4671.37060546875
1714448316.841922,133120,-4910.404296875
1714448458.748396,135168,-4901.3583984375
1714448599.5673401,137216,-4829.359375
1714448740.8040075,139264,-4745.37939453125
1714448880.5796077,141312,-4690.4013671875
1714449021.9837615,143360,-4812.36962890625
1714449164.9503508,145408,-4627.28369140625
1714449305.9511669,147456,-4342.2392578125
1714449445.912469,149504,-4476.24853515625
1714449585.8806777,151552,-4552.30419921875
1714449725.847171,153600,-4521.2734375
1714449864.5871358,155648,-4688.3486328125
1714450005.9027948,157696,-4658.29541015625
1714450144.8307986,159744,-4583.29443359375
1714450283.2790112,161792,-4540.2822265625
1714450425.1614814,163840,-4490.3134765625
1714450565.8644931,165888,-4537.3603515625
1714450710.8701682,167936,-4449.31689453125
1714450852.2975717,169984,-4372.25048828125
1714450990.900984,172032,-4534.2412109375
1714451132.5130951,174080,-4581.259765625
1714451272.7322454,176128,-4428.259765625
1714451414.4482853,178176,-4656.32568359375
1714451555.8589666,180224,-4738.33837890625
1714451697.1469128,182272,-4637.31640625
1714451837.718579,184320,-4700.38134765625
1714451978.2154949,186368,-4404.306640625
1714452119.3665004,188416,-4021.22119140625
1714452260.4460046,190464,-4272.26318359375
1714452402.3631458,192512,-4329.25244140625
1714452543.8335736,194560,-4518.29638671875
1714452683.761486,196608,-4429.29541015625
1714452825.7191722,198656,-4505.318359375
1714452967.5243216,200704,-4588.26416015625
1714453109.5262113,202752,-4690.2734375
1714453249.1259198,204800,-4449.29345703125
1714453389.5171819,206848,-4375.2822265625
1714453529.8440428,208896,-4412.23974609375
1714453671.5406137,210944,-4285.1767578125
1714453811.2936695,212992,-3975.164306640625
1714453952.7519279,215040,-4135.251953125
1714454095.2540019,217088,-4327.27587890625
1714454233.5324836,219136,-4353.22900390625
1714454374.0695882,221184,-4069.17578125
1714454514.8494964,223232,-4050.218994140625
1714454656.2768369,225280,-4185.2412109375
1714454797.2625926,227328,-4347.2607421875
1714454937.6724072,229376,-4294.228515625
1714455079.4849653,231424,-4143.2138671875
1714455219.5154905,233472,-3990.1689453125
1714455362.7796109,235520,-3831.13720703125
1714455501.9325244,237568,-4033.1396484375
1714455643.385112,239616,-4295.14990234375
1714455784.1101778,241664,-4594.19775390625
1714455924.2080762,243712,-4295.16455078125
1714456062.983855,245760,-4171.20751953125
1714456208.2099977,247808,-3880.21728515625
1714456348.144241,249856,-4193.26171875
1714456491.310471,251904,-4249.24072265625
1714456632.2426066,253952,-4078.206787109375
1714456771.5319202,256000,-3712.1640625
1714456912.153017,258048,-3877.21728515625
1714457053.8498263,260096,-4062.18603515625
1714457195.0438812,262144,-4456.2392578125
1714457333.7207427,264192,-4140.162109375
1714457475.0277705,266240,-3868.140625
1714457618.211027,268288,-3927.19287109375
1714457760.7371385,270336,-4180.28369140625
1714457901.255907,272384,-3937.19921875
1714458041.8985314,274432,-3850.185302734375
1714458182.430837,276480,-3991.169677734375
1714458323.886235,278528,-4413.248046875
1714458463.1365626,280576,-4439.228515625
1714458604.9559214,282624,-4020.196044921875
1714458746.0265138,284672,-3733.1513671875
1714458886.297259,286720,-3800.126953125
1714459029.0394983,288768,-3732.147216796875
1714459168.4796064,290816,-3928.160888671875
1714459311.0248132,292864,-4052.216796875
1714459453.5385609,294912,-4038.19580078125
1714459597.5286999,296960,-4139.19677734375
1714459737.5371408,299008,-3947.1630859375
1714459879.3956747,301056,-3984.162353515625
1714460020.0384374,303104,-3926.12841796875
1714460162.8652143,305152,-4176.17138671875
1714460305.3801403,307200,-4214.20556640625
1714460444.9280279,309248,-4061.19921875
1714460587.849848,311296,-4068.173828125
