Wall time,Step,Value
1714752787.8426616,2048,-5007.97509765625
1714752859.493264,4096,-4937.69287109375
1714752932.7983541,6144,-4900.32568359375
1714753012.1757588,8192,-4610.28271484375
1714753086.7381513,10240,-4642.32470703125
1714753164.5821402,12288,-4599.2919921875
1714753238.378825,14336,-4527.24755859375
1714753316.6370995,16384,-4689.27392578125
1714753395.7142024,18432,-4954.361328125
1714753475.2026858,20480,-5023.4169921875
1714753554.023392,22528,-4640.384765625
1714753632.4438465,24576,-4415.341796875
1714753710.5038328,26624,-4487.341796875
1714753787.179871,28672,-4825.3642578125
1714753865.153082,30720,-4860.33837890625
1714753943.3848515,32768,-4937.39453125
1714754019.8684862,34816,-4884.40869140625
1714754098.408708,36864,-4838.39794921875
1714754174.6181512,38912,-4744.38330078125
1714754252.9584706,40960,-4704.35302734375
1714754330.564584,43008,-4601.30029296875
1714754413.7333553,45056,-4706.28759765625
1714754493.5307462,47104,-4591.28955078125
1714754572.4638486,49152,-4564.25439453125
1714754649.4936457,51200,-4444.26611328125
1714754728.2274318,53248,-4590.2763671875
1714754805.7009087,55296,-4428.27587890625
1714754883.0942233,57344,-4331.28662109375
1714754963.0967655,59392,-4379.32080078125
1714755042.880964,61440,-4681.3662109375
1714755122.1920936,63488,-4659.2880859375
1714755199.68139,65536,-4348.19873046875
1714755279.2542684,67584,-4344.18896484375
1714755360.7135859,69632,-4101.1630859375
1714755440.0573997,71680,-3932.142822265625
1714755520.0507767,73728,-3861.17724609375
1714755601.4466655,75776,-4131.22119140625
1714755684.3536465,77824,-3985.178955078125
1714755764.320472,79872,-3949.168212890625
1714755844.69403,81920,-4133.22265625
1714755932.859622,83968,-4075.19970703125
1714756015.1420152,86016,-4164.18896484375
1714756095.0112703,88064,-3997.16357421875
1714756175.2800286,90112,-3898.1728515625
1714756255.663392,92160,-3628.122802734375
1714756336.0192618,94208,-3773.112060546875
1714756417.5748482,96256,-3935.15869140625
1714756496.955064,98304,-3950.178955078125
